subject,predicate,object,confidence,context,evidence_count
Chevron,prevailed_in_mediation_with,Exxon,1.0,,2
Mediation,concerned_in_mediation,Guyana oil assets,0.975,,2
Mediation decision,clears_way_for,Chevron's acquisition of Hess,1.0,,2
Chevron,will_acquire,Hess,1.0,,2
Hess stock,increased_by,8 and a half%,0.985,,2
Chevron stock,increased_by,3.7%,0.985,,2
Jay Powell,holds_title_of,Federal Reserve chair,1.0,,2
Jay Powell,responded_to_questions_from,White House,0.975,,2
White House,posed_questions_about,renovations,0.9500000000000001,,2
renovations,are_for,Central Bank's DC headquarters,0.975,,2
Jay Powell,sent_letter_to,Office of Management and Budget,1.0,,2
Jay Powell,provided_details_on,project cost overruns,0.975,,2
Jay Powell,batted_down_accusations_of,luxury amenities,0.9500000000000001,,2
Financial Times,reported_on,AI startup Perplexity,1.0,,2
Perplexity,valuation_rose_to,$18 billion,0.9516666666666668,,3
Perplexity,had_prior_valuation_of,$14 billion,0.8150000000000001,,1
Perplexity,raised_money_at,$14 billion valuation,0.9166666666666666,,3
new investors,approached,Perplexity,0.9166666666666666,,3
new investors,purchased,equity,0.8,,1
equity,at,higher valuation level,0.89,,1
Amazon,is_laying_off,staffers,0.85,,1
staffers,are_in,Amazon's cloud computing division,0.8350000000000001,,1
layoffs,not_primarily_due_to,investments in AI,0.85,,0
layoffs,are_result_of,ongoing efforts to streamline the workforce,0.9,,0
layoffs,are_result_of,refocus on certain priorities,0.9,,0
Commerce Department,will_impose,anti-dumping duties,0.85,,1
anti-dumping duties,apply_to,graphite,0.8350000000000001,,1
graphite,imported_from,China,0.8250000000000001,,1
graphite,used_in_making,electric vehicle batteries,0.8350000000000001,,1
material,sold_in,US,0.8250000000000001,,1
material,at,less than fair market value,0.89,,1
Government,concluded_that,material is being sold at less than fair market value,0.8,,1
Exxon,resolved_dispute_with,Chevron,0.975,,2
Guyana,pertain_to,oil assets,0.9500000000000001,,2
Chevron,impacts_stock_of,acquisition of Hess,0.985,,2
Hess,impacts_stock_of,acquisition of Hess,0.985,,2
Federal Reserve,are_located_at,DC headquarters,0.965,,2
renovations,addressed_in_letter,project cost overruns,0.925,,2
AI,experienced_rising_valuation,AI startup Perplexity,0.9166666666666666,,3
$18 billion valuation,preceded,$14 billion valuation,0.9016666666666667,,3
Amazon,implemented_by,staff reductions,0.775,,1
Government,is_a_unit_of,Commerce Department,0.8150000000000001,,1
90%,are_greater_than,anti-dumping duties,0.8,,1
graphite,is_source_of_imports,China,0.775,,1
Central Bank,is_also_known_as,Federal Reserve,0.965,,2
transcript,provided_breaking_news,Becky,0.75,,0
opening bell,is_related_to,financial news,0.925,,2
Chevron,target_of_acquisition_by,Hess,0.975,,2
Jay Powell,is_governed_by,Federal Reserve,0.9500000000000001,,2
White House,are_subject_of_scrutiny_from,renovations,0.9349999999999999,,2
AI sector,operates_in,Perplexity,0.88,,0
Amazon,is_part_of,cloud computing division,0.8,,1
Amazon,undergoing_streamlining_by,workforce,0.8,,1
Commerce Department,protects_domestic_industry_from,anti-dumping duties,0.8150000000000001,,1
graphite,is_market_for,US,0.785,,1
Chevron,subsidiary,Hess,0.9500000000000001,,2
Hess,parent organization,Chevron,0.9500000000000001,,2
